brewery,beer_name,style,abv_percent,ibu,global_rating,checkin_date,location,your_rating,your_notes,beer_url,checkin_url
Bières de Chimay,Chimay Grande Réserve (Blue),Belgian Strong Dark Ale,9,35,3.88799,2026-01-16T19:03:12+00:00,Untappd at Home,4,,https://untappd.com/b/bieres-de-chimay-chimay-grande-reserve-blue/34039,https://untappd.com/user/Semelenge/checkin/1543719003
Marston's Brewery,Hobgoblin Ruby Beer,Red Ale - Other,5.2,32,3.39676,2025-11-21T18:46:10+00:00,Untappd at Home,3,,https://untappd.com/b/marston-s-brewery-hobgoblin-ruby-beer/5875,https://untappd.com/user/Semelenge/checkin/1529891421
Macks Ølbryggeri,Julebokk,Bock - Doppelbock,9,,3.6149,2025-11-21T18:42:16+00:00,Untappd at Home,3.25,,https://untappd.com/b/macks-olbryggeri-julebokk/2899207,https://untappd.com/user/Semelenge/checkin/1529889638
Grünerløkka Brygghus,Løkka Juleporter 2025,Porter - English,6.3,,3.49099,2025-11-21T18:41:32+00:00,Untappd at Home,3.75,,https://untappd.com/b/grunerlokka-brygghus-lokka-juleporter-2025/6461732,https://untappd.com/user/Semelenge/checkin/1529889314
Christiania Bryggeri,Fatlagret Julesnadder,Stout - Imperial / Double,9.8,,3.61816,2025-11-21T18:41:03+00:00,Untappd at Home,3.5,,https://untappd.com/b/christiania-bryggeri-fatlagret-julesnadder/4574748,https://untappd.com/user/Semelenge/checkin/1529889094
St. Peter’s Brewery Co.,Winter Ale,Winter Ale,6.5,,3.43002,2025-11-08T20:51:27+00:00,Untappd at Home,3.5,,https://untappd.com/b/st-peter-s-brewery-co-winter-ale/101,https://untappd.com/user/Semelenge/checkin/1527206035
Arcobräu Gräfliches Brauhaus,Mooser Liesl Helles,Lager - Helles,5.3,15,3.48319,2025-08-17T10:18:14+00:00,Untappd at Home,3.5,,https://untappd.com/b/arcobrau-grafliches-brauhaus-mooser-liesl-helles/1123571,https://untappd.com/user/Semelenge/checkin/1506268492
Nøgne Ø,Porter,Porter - American,7,30,3.77403,2025-07-23T16:20:21+00:00,Untappd at Home,4,,https://untappd.com/b/nogne-o-porter/27638,https://untappd.com/user/Semelenge/checkin/1498725863
Nøgne Ø,Saison,Farmhouse Ale - Saison,6.5,25,3.57789,2025-07-23T16:19:46+00:00,Untappd at Home,3.5,,https://untappd.com/b/nogne-o-saison/43682,https://untappd.com/user/Semelenge/checkin/1498725671
Nøgne Ø,Upper Middle Class Oblivion,IPA - Triple New England / Hazy,12,40,3.88029,2025-07-23T16:19:06+00:00,Untappd at Home,3.25,,https://untappd.com/b/nogne-o-upper-middle-class-oblivion/4666536,https://untappd.com/user/Semelenge/checkin/1498725484
